customer_id,first_name,last_name,gender,date_of_birth,city,state,pincode,signup_date,customer_type
C00095,Daksha,Sarraf,Female,1967-06-12,Gurugram,Haryana,26217,2025-08-30,Customer
C00096,Kevin,Nigam,Male,2003-01-27,Jaipur,Rajasthan,158657,2025-11-08,Customer
C00097,Anita,Biswas,Female,1976-08-20,Pune,Maharashtra,316117,2024-05-09,Customer
C00098,Mason,Balakrishnan,Male,1963-10-16,Bhubaneswar,Odisha,45562,2024-07-08,Customer
C00099,Zilmil,Sabharwal,Female,1999-03-04,Indore,Madhya Pradesh,221969,2025-06-14,Customer
C00100,Kavya,Tank,Female,2000-05-05,Nagpur,Maharashtra,374740,2025-11-29,Customer
C00101,Vidhi,Mani,Female,2006-10-09,Hyderabad,Telangana,175946,2025-06-20,Customer
C00102,Jeremiah,Shan,Male,1981-03-21,Ahmedabad,Gujarat,671369,2024-10-05,Customer
C00103,Manbir,Merchant,Male,1962-02-25,Chandigarh,Chandigarh,409097,2025-10-08,Customer
C00104,Luke,Karpe,Male,2001-12-20,Faridabad,Haryana,339421,2025-12-02,Customer
C00105,Anmol,More,Male,1990-08-28,Faridabad,Haryana,952145,2025-08-03,Customer
C00106,Sarthak,Gill,Male,1974-04-28,Delhi,Delhi,858842,2024-07-18,Customer
C00107,Wridesh,Merchant,Male,1983-09-16,Bhubaneswar,Odisha,712368,2024-10-11,Customer
C00108,Chakradev,Rana,Male,1961-08-09,Ahmedabad,Gujarat,817549,2024-10-22,Customer
C00109,Quincy,Chokshi,Male,2006-08-01,Nashik,Maharashtra,709859,2024-06-20,Customer
C00110,Azad,Shetty,Male,2008-05-14,Agra,Uttar Pradesh,612004,2025-01-17,Customer
C00111,Devika,Chatterjee,Female,1976-08-20,Bengaluru,Karnataka,675869,2025-07-30,Customer
C00112,Faras,Sachdeva,Male,2005-03-24,Jaipur,Rajasthan,796405,2024-06-17,Customer
C00113,Vamakshi,Saxena,Female,1976-09-22,Pune,Maharashtra,158506,2024-08-02,Customer
C00114,Girish,Das,Male,1991-08-09,Dehradun,Uttarakhand,390053,2024-04-07,Customer
C00115,Ishanvi,Biswas,Female,1998-05-16,Ahmedabad,Gujarat,933529,2024-01-03,Customer
C00116,Manya,Dhillon,Female,1969-07-03,Kanpur,Uttar Pradesh,210205,2025-09-05,Customer
C00117,Kashish,Naik,Female,1961-09-25,Pune,Maharashtra,402681,2025-08-02,Customer
C00118,Azad,Soni,Male,1991-03-01,Hyderabad,Telangana,891783,2025-04-22,Customer
C00119,Anya,Verma,Female,1981-03-09,Surat,Gujarat,7661,2025-01-15,Customer
C00120,Vamakshi,Borah,Female,1966-02-27,Bhopal,Madhya Pradesh,921249,2025-05-06,Customer
C00121,Omaja,Raj,Female,2001-04-24,Agra,Uttar Pradesh,789611,2025-10-24,Customer
C00122,Hritik,Sani,Male,1991-05-22,Visakhapatnam,Andhra Pradesh,657661,2024-08-30,Customer
C00123,Tanay,Munshi,Male,2005-12-02,Mumbai,Maharashtra,527111,2024-03-13,Customer
C00124,Upma,Char,Female,1986-01-07,Dehradun,Uttarakhand,809885,2025-06-04,Customer
C00125,Divya,Roy,Female,1984-09-20,Kanpur,Uttar Pradesh,49451,2025-03-24,Customer
C00126,Zehaan,Kala,Male,1971-03-10,Ahmedabad,Gujarat,315851,2025-08-15,Customer
C00127,Liam,Kara,Male,1989-11-10,Pune,Maharashtra,940244,2025-12-16,Customer
C00128,Pallavi,Panchal,Female,1961-01-27,Chennai,Tamil Nadu,296120,2024-03-12,Customer
C00129,Zilmil,Kale,Female,1986-04-05,Kolkata,West Bengal,752545,2025-08-26,Customer
C00130,Chaman,Ben,Female,1971-03-31,Nagpur,Maharashtra,901476,2025-01-12,Customer
C00131,Timothy,Sachdeva,Male,1979-04-01,Agra,Uttar Pradesh,815614,2025-06-10,Customer
C00132,Yagnesh,Vyas,Male,2006-01-21,Nagpur,Maharashtra,36900,2024-06-07,Customer
C00133,Matthew,Kakar,Male,1969-12-30,Mumbai,Maharashtra,451076,2024-05-16,Customer
C00134,Dhruv,Rai,Male,1996-11-25,Bengaluru,Karnataka,885160,2024-12-04,Customer
C00135,Aditya,Sharaf,Male,1965-12-16,Kolkata,West Bengal,969664,2024-03-30,Customer
C00136,Tanmayi,Bail,Female,1982-10-05,Patna,Bihar,975161,2024-07-07,Customer
C00137,Urmi,Rattan,Female,1996-04-25,Pune,Maharashtra,645352,2024-02-29,Customer
C00138,Yashodhara,Comar,Female,1996-10-07,Nashik,Maharashtra,552312,2024-07-17,Customer
C00139,Hardik,Ghose,Male,2001-08-26,Kolkata,West Bengal,127799,2024-12-14,Customer
C00140,Ojasvi,Mutti,Female,1970-12-07,Delhi,Delhi,177449,2024-02-13,Customer
C00141,Qushi,Tripathi,Female,1965-09-16,Jaipur,Rajasthan,770054,2024-02-29,Customer
C00142,Chandani,Tripathi,Female,1986-10-28,Lucknow,Uttar Pradesh,980793,2024-09-06,Customer
C00143,Vyanjana,Thaker,Female,1970-12-04,Bhubaneswar,Odisha,715182,2024-01-31,Customer
C00144,Krishna,Sarma,Female,1990-07-24,Chennai,Tamil Nadu,554665,2025-06-11,Customer
C00145,Atharv,Natt,Male,1965-02-22,Lucknow,Uttar Pradesh,186449,2025-11-09,Customer
C00146,Falan,Nath,Male,1966-03-16,Mumbai,Maharashtra,546291,2024-08-28,Customer
C00147,Raghav,Narasimhan,Male,1969-05-10,Dehradun,Uttarakhand,685054,2024-05-20,Customer
C00148,Jalsa,Om,Female,1993-10-01,Mumbai,Maharashtra,322141,2025-01-29,Customer
C00149,Anirudh,Nayar,Male,2002-09-19,Faridabad,Haryana,962229,2025-09-20,Customer
C00150,Gayathri,Sarma,Female,1963-08-19,Noida,Uttar Pradesh,537947,2024-06-30,Customer
C00151,Jagdish,More,Male,1992-07-29,Mumbai,Maharashtra,597746,2025-01-25,Customer
C00152,Shaurya,Edwin,Male,1974-04-01,Agra,Uttar Pradesh,407581,2025-07-06,Customer
C00153,David,Mane,Male,1966-05-14,Bengaluru,Karnataka,478261,2025-12-08,Customer
C00154,Indrajit,Seshadri,Male,1984-06-12,Visakhapatnam,Andhra Pradesh,606853,2024-10-26,Customer
C00155,Banjeet,Prasad,Male,1975-12-09,Indore,Madhya Pradesh,515220,2024-08-10,Customer
C00156,Warinder,Dewan,Male,1992-07-31,Nashik,Maharashtra,901043,2025-10-10,Customer
C00157,Falan,Wable,Male,1989-06-18,Faridabad,Haryana,434103,2024-11-22,Customer
C00158,Veer,Bhatnagar,Male,1968-03-15,Kochi,Kerala,980893,2025-07-12,Customer
C00159,Ekbal,Manne,Male,1989-11-13,Bhopal,Madhya Pradesh,953962,2025-05-31,Customer
C00160,Chaman,Viswanathan,Female,1985-03-13,Ludhiana,Punjab,888880,2024-10-30,Customer
C00161,Vrinda,Bassi,Female,2003-12-01,Pune,Maharashtra,540515,2024-07-06,Customer
C00162,Damini,Natarajan,Female,1969-09-26,Ahmedabad,Gujarat,585277,2025-05-05,Customer
C00163,Hemani,Deshmukh,Female,1964-12-14,Indore,Madhya Pradesh,43030,2024-09-02,Customer
C00164,Mohammed,Varma,Male,1987-10-04,Visakhapatnam,Andhra Pradesh,403450,2025-11-03,Customer
C00165,Oni,Mahajan,Female,1969-02-16,Nagpur,Maharashtra,667652,2025-01-20,Customer
C00166,Yadavi,Pillai,Female,1995-12-30,Ludhiana,Punjab,161692,2025-02-27,Customer
C00167,Manan,Nagi,Male,1967-08-23,Delhi,Delhi,544796,2024-05-09,Customer
C00168,Vamakshi,Panchal,Female,1991-02-01,Kochi,Kerala,596401,2025-06-05,Customer
C00169,Samaksh,Patla,Male,1995-07-29,Bengaluru,Karnataka,29702,2024-02-22,Customer
C00170,Jacob,Peri,Male,1985-04-21,Noida,Uttar Pradesh,909275,2024-10-15,Customer
C00171,Vamakshi,Bose,Female,1999-09-18,Chennai,Tamil Nadu,856543,2024-03-29,Customer
C00172,Amara,Grewal,Female,1994-08-14,Nashik,Maharashtra,814473,2025-04-20,Customer
C00173,Luke,Swaminathan,Male,1974-04-13,Nashik,Maharashtra,217271,2025-09-21,Customer
C00174,Nathaniel,Palan,Male,1965-01-29,Surat,Gujarat,422583,2024-04-04,Customer
C00175,Irya,Dewan,Female,1976-10-08,Kolkata,West Bengal,58957,2025-09-16,Customer
C00176,Eiravati,Chadha,Female,1965-02-18,Varanasi,Uttar Pradesh,678669,2024-02-27,Customer
C00177,Edhitha,Nadig,Female,2004-05-15,Kochi,Kerala,778528,2025-05-11,Customer
C00178,Gavin,Dayal,Male,1990-02-05,Visakhapatnam,Andhra Pradesh,182422,2024-09-07,Customer
C00179,Jeevika,Pal,Female,1995-12-21,Ludhiana,Punjab,143842,2025-04-30,Customer
C00180,Max,Walla,Male,1967-01-07,Nashik,Maharashtra,992299,2024-09-19,Customer
C00181,Ansh,Balakrishnan,Male,1966-03-09,Jaipur,Rajasthan,943969,2025-05-11,Customer
C00182,Alexander,Tank,Male,2003-05-04,Nashik,Maharashtra,473647,2024-02-26,Customer
C00183,Ayushman,Dugar,Male,1990-07-29,Dehradun,Uttarakhand,773592,2024-08-30,Customer
C00184,Nathaniel,Pai,Male,1987-10-17,Jaipur,Rajasthan,588153,2024-12-28,Customer
C00185,Divya,Loke,Female,1991-04-03,Kochi,Kerala,210469,2024-11-20,Customer
C00186,Jeet,Dutta,Male,1982-12-10,Bhubaneswar,Odisha,327877,2025-11-13,Customer
C00187,Nikita,Tank,Female,1962-03-28,Pune,Maharashtra,687339,2024-10-01,Customer
C00188,Arunima,Bedi,Female,1979-10-22,Noida,Uttar Pradesh,974801,2024-11-30,Customer
C00189,Ekani,Lalla,Female,1985-07-20,Jaipur,Rajasthan,506098,2024-05-31,Customer
C00190,Pratyush,Mani,Male,1965-08-30,Bengaluru,Karnataka,878499,2024-04-02,Customer
C00191,Eesha,Chatterjee,Female,1987-06-19,Varanasi,Uttar Pradesh,585239,2025-01-30,Customer
C00192,Suhani,Tella,Female,1963-05-26,Mumbai,Maharashtra,25787,2024-04-25,Customer
C00193,Ekaraj,Narang,Male,2002-05-18,Chandigarh,Chandigarh,269495,2025-01-29,Customer
C00194,Yash,Mistry,Male,1992-12-22,Coimbatore,Tamil Nadu,551694,2025-09-10,Customer
C00195,Amara,Som,Female,1978-09-23,Kolkata,West Bengal,97289,2025-08-24,Customer
C00196,Sachi,Divan,Female,2006-12-25,Gurugram,Haryana,91307,2024-08-31,Customer
C00197,Ubika,Doshi,Female,1988-10-05,Gurugram,Haryana,689702,2025-02-06,Customer
C00198,Hemang,Nair,Male,2005-09-21,Hyderabad,Telangana,865278,2024-09-22,Customer
C00199,Peter,Lalla,Male,2002-03-05,Nashik,Maharashtra,334843,2024-08-19,Customer
C00200,Maanas,Johal,Male,2007-08-19,Gurugram,Haryana,575844,2024-04-04,Customer
C00201,Ranveer,Rana,Male,1984-02-23,Varanasi,Uttar Pradesh,404157,2025-05-24,Customer
C00202,Lavanya,Srinivas,Female,1975-03-22,Faridabad,Haryana,848421,2025-04-23,Customer
C00203,Jagdish,Kibe,Male,1964-02-11,Bhopal,Madhya Pradesh,301657,2024-03-19,Customer
C00204,Ekapad,Ahluwalia,Male,1998-02-10,Mumbai,Maharashtra,677345,2024-08-09,Customer
C00205,Bhanumati,Chakraborty,Female,2005-01-17,Surat,Gujarat,802620,2025-10-11,Customer
C00206,Rushil,Tandon,Male,1973-05-03,Nashik,Maharashtra,4991,2025-12-22,Customer
C00207,Oviya,Mane,Female,1991-07-30,Pune,Maharashtra,287431,2024-09-13,Customer
C00208,Finn,Shanker,Male,2004-10-10,Visakhapatnam,Andhra Pradesh,205493,2024-05-16,Customer
C00209,Samaksh,Sane,Male,1995-09-22,Surat,Gujarat,161227,2024-09-08,Customer
C00210,Kritika,Ahuja,Female,1978-05-28,Kochi,Kerala,374549,2025-07-15,Customer
C00211,Abdul,Lal,Male,2005-02-21,Ludhiana,Punjab,301742,2024-11-10,Customer
C00212,Zayan,Mukhopadhyay,Male,2007-08-20,Agra,Uttar Pradesh,459332,2025-01-06,Customer
C00213,Faraj,Sha,Male,2001-11-17,Kanpur,Uttar Pradesh,687833,2025-06-12,Customer
C00214,Banjeet,Vora,Male,1991-01-22,Nashik,Maharashtra,191088,2024-06-06,Customer
C00215,Falguni,Gala,Female,1982-12-27,Delhi,Delhi,139718,2024-12-12,Customer
C00216,Ayaan,Setty,Male,1969-08-21,Dehradun,Uttarakhand,790874,2025-07-15,Customer
C00217,Alka,Randhawa,Female,1977-12-22,Kanpur,Uttar Pradesh,391065,2025-06-28,Customer
C00218,Bhavika,Bhasin,Female,1965-05-10,Kanpur,Uttar Pradesh,46226,2024-10-17,Customer
C00219,Rayaan,Sen,Male,1986-05-07,Jaipur,Rajasthan,182512,2025-02-21,Customer
C00220,Ronith,Wadhwa,Male,1969-04-29,Kanpur,Uttar Pradesh,4786,2025-02-17,Customer
C00221,Ranveer,Karpe,Male,1977-07-02,Indore,Madhya Pradesh,524310,2025-09-20,Customer
C00222,Shaurya,Babu,Male,1977-01-13,Agra,Uttar Pradesh,119079,2025-06-05,Customer
C00223,Arunima,Konda,Female,1963-09-02,Ahmedabad,Gujarat,738302,2025-01-26,Customer
C00224,Maanav,Kaur,Male,1999-11-12,Varanasi,Uttar Pradesh,995342,2025-05-27,Customer
C00225,Yoshita,Kant,Female,1988-10-20,Surat,Gujarat,408926,2025-03-07,Customer
C00226,Yachana,Batta,Female,1984-02-05,Varanasi,Uttar Pradesh,856624,2024-10-19,Customer
C00227,George,Yogi,Male,1992-11-18,Ahmedabad,Gujarat,342708,2024-11-16,Customer
C00228,Sathvik,Wagle,Male,1969-10-13,Visakhapatnam,Andhra Pradesh,343517,2025-10-19,Customer
C00229,Qasim,Chanda,Male,1997-02-09,Indore,Madhya Pradesh,46990,2025-11-09,Customer
C00230,Bina,Guha,Female,2000-08-23,Jaipur,Rajasthan,735403,2025-12-28,Customer
C00231,Girish,Dalal,Male,1993-04-01,Ranchi,Jharkhand,936385,2025-08-25,Customer
C00232,Megha,Rai,Female,1992-05-21,Surat,Gujarat,445877,2024-03-17,Customer
C00233,Vrinda,Nagarajan,Female,1974-06-25,Visakhapatnam,Andhra Pradesh,560932,2024-01-13,Customer
C00234,Leena,Sahni,Female,1980-09-30,Delhi,Delhi,353693,2025-01-22,Customer
C00235,Om,Kurian,Male,1993-11-28,Nashik,Maharashtra,725228,2025-01-14,Customer
C00236,Hiral,Bhargava,Female,1996-04-24,Kolkata,West Bengal,100623,2024-02-22,Customer
C00237,Forum,Andra,Female,1975-07-18,Mumbai,Maharashtra,509977,2024-01-13,Customer
C00238,Aarush,Wali,Male,1998-03-14,Kochi,Kerala,8484,2024-01-14,Customer
C00239,Yashasvi,Sani,Female,1972-11-09,Surat,Gujarat,182339,2025-02-12,Customer
C00240,Lajita,Pandya,Female,1978-11-07,Bhopal,Madhya Pradesh,156793,2025-06-25,Customer
C00241,Isaiah,Mital,Male,2007-03-17,Indore,Madhya Pradesh,16668,2025-01-04,Customer
C00242,Ayaan,Andra,Male,2008-06-27,Jaipur,Rajasthan,176591,2025-11-26,Customer
C00243,Ansh,Karpe,Male,1975-01-17,Bhubaneswar,Odisha,401489,2025-05-26,Customer
C00244,Anamika,Gola,Female,1982-01-22,Delhi,Delhi,392614,2024-05-06,Customer
C00245,Jai,Ramachandran,Male,2006-09-24,Surat,Gujarat,621850,2024-03-16,Customer
C00246,Urmi,Kata,Female,1965-10-31,Bengaluru,Karnataka,999650,2025-05-07,Customer
C00247,Madhavi,Seshadri,Female,1994-01-17,Kochi,Kerala,586629,2025-05-28,Customer
C00248,Sachi,Chada,Female,2002-10-03,Visakhapatnam,Andhra Pradesh,311426,2025-07-06,Customer
C00249,Faraj,Ramachandran,Male,1982-03-18,Dehradun,Uttarakhand,110475,2025-08-14,Customer
C00250,Lopa,Chaudry,Female,1969-09-04,Noida,Uttar Pradesh,267888,2024-11-12,Customer
C00251,Dalaja,Bal,Female,1966-10-04,Visakhapatnam,Andhra Pradesh,819956,2024-01-10,Customer
C00252,Mugdha,Sachdev,Female,1987-01-18,Chandigarh,Chandigarh,839826,2024-05-11,Customer
C00253,Ekiya,Luthra,Female,1981-02-24,Bhubaneswar,Odisha,721264,2024-11-23,Customer
C00254,Netra,Sule,Female,1965-11-22,Gurugram,Haryana,437993,2024-12-21,Customer
C00255,Chatresh,Deshmukh,Male,1981-05-23,Pune,Maharashtra,659657,2024-09-16,Customer
C00256,Upasna,Deshpande,Female,1981-02-07,Visakhapatnam,Andhra Pradesh,937526,2024-09-04,Customer
C00257,Mugdha,Swaminathan,Female,1999-11-06,Visakhapatnam,Andhra Pradesh,564651,2025-12-24,Customer
C00258,Harish,Gole,Male,2007-01-19,Kochi,Kerala,737416,2025-06-06,Customer
C00259,Yahvi,Dewan,Female,2003-10-04,Indore,Madhya Pradesh,342661,2024-12-14,Customer
C00260,Wriddhish,Rattan,Male,1997-01-08,Lucknow,Uttar Pradesh,805891,2024-03-25,Customer
C00261,Kritika,Pant,Female,1971-12-24,Pune,Maharashtra,965610,2024-03-17,Customer
C00262,Leela,Kapadia,Female,1995-05-30,Kanpur,Uttar Pradesh,756798,2024-04-27,Customer
C00263,Pooja,Bakshi,Female,1993-07-06,Nagpur,Maharashtra,461125,2024-08-30,Customer
C00264,Pavani,Shah,Female,1974-09-26,Nagpur,Maharashtra,571775,2024-02-22,Customer
C00265,Mason,Basu,Male,1968-06-28,Noida,Uttar Pradesh,512382,2025-03-04,Customer
C00266,Gauri,Narayanan,Female,1998-10-04,Kanpur,Uttar Pradesh,736226,2024-11-03,Customer
C00267,Akshay,Hora,Male,1991-04-03,Visakhapatnam,Andhra Pradesh,603341,2025-03-24,Customer
C00268,Charan,Yadav,Male,1973-05-19,Lucknow,Uttar Pradesh,537147,2025-02-13,Customer
C00269,Nirja,Rama,Female,2002-04-05,Bengaluru,Karnataka,915579,2024-05-14,Customer
C00270,Manthan,Chad,Male,2006-05-25,Visakhapatnam,Andhra Pradesh,513412,2024-10-16,Customer
C00271,Ekta,Vaidya,Female,1987-02-04,Ahmedabad,Gujarat,929662,2025-01-13,Customer
